Date,Open,High,Low,Close,Volume,Adjusted Close
2014-05-16,90.03,90.03,90.03,90.03,200.0,90.03
2014-05-15,90.15,90.15,90.15,90.15,300.0,90.15
2014-05-14,90.0,90.0,90.0,90.0,0.0,90.0
2014-05-13,90.0,90.0,90.0,90.0,0.0,90.0
2014-05-12,90.0,90.0,90.0,90.0,0.0,90.0
2014-05-09,90.0,90.0,90.0,90.0,0.0,90.0
2014-05-08,90.0,90.0,90.0,90.0,500.0,90.0
2014-05-07,90.0,90.0,90.0,90.0,0.0,90.0
2014-05-06,90.0,90.0,89.5,90.0,300.0,90.0
2014-05-05,90.0,90.0,90.0,90.0,0.0,90.0
2014-05-02,90.0,90.0,89.99,90.0,900.0,90.0
2014-05-01,90.0,90.0,90.0,90.0,0.0,90.0
2014-04-30,90.0,90.0,90.0,90.0,100.0,90.0
2014-04-29,90.02,90.02,90.0,90.01,900.0,90.01
2014-04-28,90.01,90.01,90.01,90.01,200.0,90.01
2014-04-25,90.07,90.07,90.0,90.0,1100.0,90.0
2014-04-24,90.3,90.3,90.3,90.3,0.0,90.3
2014-04-23,90.3,90.3,90.3,90.3,100.0,90.3
2014-04-22,90.25,90.25,90.25,90.25,300.0,90.25
2014-04-21,90.52,90.52,90.52,90.52,0.0,90.52
2014-04-17,90.52,90.52,90.52,90.52,200.0,90.52
2014-04-16,91.25,91.25,91.25,91.25,0.0,91.25
2014-04-15,91.23,91.25,91.23,91.25,900.0,91.25
2014-04-14,91.0,91.25,90.88,91.25,2200.0,91.25
2014-04-11,91.55,91.55,91.55,91.55,0.0,91.55
2014-04-10,91.55,91.55,91.55,91.55,0.0,91.55
2014-04-09,91.55,91.55,91.55,91.55,200.0,91.55
2014-04-08,91.5,91.5,91.5,91.5,400.0,91.5
2014-04-07,91.6,91.6,91.6,91.6,200.0,91.6
2014-04-04,91.51,91.51,91.5,91.5,400.0,91.5
2014-04-03,92.01,92.01,91.51,91.51,300.0,91.51
2014-04-02,92.0,92.0,92.0,92.0,200.0,92.0
2014-04-01,92.0,92.0,92.0,92.0,0.0,92.0
2014-03-31,91.5,92.0,91.5,92.0,500.0,92.0
2014-03-28,90.88,90.88,90.88,90.88,0.0,90.88
2014-03-27,90.88,90.88,90.88,90.88,0.0,90.88
2014-03-26,91.21,91.21,90.88,90.88,3300.0,90.88
2014-03-25,91.0,91.21,91.0,91.21,400.0,91.21
2014-03-24,91.0,91.0,91.0,91.0,1400.0,91.0
2014-03-21,91.0,91.0,91.0,91.0,0.0,91.0
2014-03-20,91.0,91.0,91.0,91.0,300.0,91.0
2014-03-19,91.49,91.49,91.0,91.0,1000.0,91.0
